2026-01-21 12:36:55.748666: Received {'room': 'room-1', 'temperature': 21.826, 'humidity': 29.2}
2026-01-21 12:36:58.095712: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.238}
2026-01-21 12:37:00.347978: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:02.602241: Received {'room': 'room-1', 'temperature': 21.831, 'humidity': 29.218}
2026-01-21 12:37:04.934584: Received {'room': 'room-1', 'temperature': 21.834, 'humidity': 29.2}
2026-01-21 12:37:07.182489: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:09.852136: Received {'room': 'room-1', 'temperature': 21.819, 'humidity': 29.2}
2026-01-21 12:37:12.811308: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.218}
2026-01-21 12:37:14.378752: Received {'room': 'room-1', 'temperature': 21.836, 'humidity': 29.218}
2026-01-21 12:37:16.631013: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:18.823796: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:21.135270: Received {'room': 'room-1', 'temperature': 21.836, 'humidity': 29.2}
2026-01-21 12:37:23.384898: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:25.742567: Received {'room': 'room-1', 'temperature': 21.826, 'humidity': 29.2}
2026-01-21 12:37:27.996748: Received {'room': 'room-1', 'temperature': 21.834, 'humidity': 29.2}
2026-01-21 12:37:30.452691: Received {'room': 'room-1', 'temperature': 21.831, 'humidity': 29.2}
2026-01-21 12:37:32.605265: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:34.957490: Received {'room': 'room-1', 'temperature': 21.824, 'humidity': 29.2}
2026-01-21 12:37:37.107181: Received {'room': 'room-1', 'temperature': 21.826, 'humidity': 29.2}
2026-01-21 12:37:39.464926: Received {'room': 'room-1', 'temperature': 21.826, 'humidity': 29.2}
2026-01-21 12:37:41.718189: Received {'room': 'room-1', 'temperature': 21.834, 'humidity': 29.2}
2026-01-21 12:37:43.999073: Received {'room': 'room-1', 'temperature': 21.834, 'humidity': 29.2}
2026-01-21 12:37:46.634380: Received {'room': 'room-1', 'temperature': 21.826, 'humidity': 29.2}
2026-01-21 12:37:48.995953: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:51.240767: Received {'room': 'room-1', 'temperature': 21.831, 'humidity': 29.2}
2026-01-21 12:37:53.504202: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:55.854159: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:37:58.409574: Received {'room': 'room-1', 'temperature': 21.829, 'humidity': 29.2}
2026-01-21 12:38:00.557810: Received {'room': 'room-1', 'temperature': 21.831, 'humidity': 29.2}
2026-01-21 12:38:02.914956: Received {'room': 'room-1', 'temperature': 21.824, 'humidity': 29.2}
